도서명,저자,출판사,출판일자,가격,이미지,0,0,카테고리ID,재고,상태,ISBN,소개글
혼모노,성해나,창비,2025-03-28,16200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936439743.jpg,0,0,11,100,ON_SALE,9788936439743.0,부엉이는 성급히 날아오르지 않는다. 날갯짓을 하기 전 충분히 주변을 살피고 신중히 방향을 정한 뒤 착지한다. 나 역시 예리한 발톱으로 문장을 낚고 너른 시선으로 사회의 아픔을 포착하며 열린 귀로 멀리 떨어진 이들의 이야기까지 경청하고 싶다. 지금보다 묵직한 숨을 내쉴 때까지. 가까이서 먼 곳에서 지켜봐주시길 바라며.
"첫 여름, 완주",김금희,무제(MUZE),2025-05-08,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791197221989.jpg,1,1,11,100,ON_SALE,9791197221989.0,거짓 없는 사실 완전한 올바름 그것은 때로 삶을 수렴하기에 너무 옹색하다. 그보다는 더 수용적이고 오래고 성긴 것이 필요하다. 이를테면 우리가 알아채기도 전에 서로의 어깨 위로 내려앉는 여름의 방문 같은 것.
안녕이라 그랬어,김애란,문학동네,2025-06-20,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791141602376.jpg,4,1,11,100,ON_SALE,9791141602376.0,다섯번째 소설집을 냅니다. 그사이 여러 계절을 나며 사람과 풍경이 시절과 가치가 변하는 걸 보았습니다.
모순,양귀자,쓰다,2013-04-01,11700,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788998441012.jpg,0,0,11,100,ON_SALE,9788998441012.0,인생은 탐구하면서 살아가는 것이 아니라 살아가면서 탐구하는 것이다. 실수는 되풀이된다. 그것이 인생이다…….
소년이 온다,한강,창비,2014-05-19,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936434120.jpg,1,2,11,100,ON_SALE,9788936434120.0,어둠과 폭력의 세계 속에 상처 입은 존재들을 섬세하게 그려온 한강의 소설이 5월 광주의 시공간에서 벌어진 잔혹한 학살의 참상과 정면으로 마주한다.
토막 난 우주를 안고서,김초엽 외,허블,2025-06-18,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193078563.jpg,4,2,11,100,ON_SALE,9791193078563.0,“그럼에도 저 너머 세계의 이연이 보민을 이곳으로 초대했다. 보여주고 싶어. 이연을 붙들어 주었던 이연을 살게 했던 그 세계들을 보여주고 싶어서.”
급류,정대건,민음사,2022-12-22,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788937473401.jpg,1,2,11,100,ON_SALE,9788937473401.0,도담은 한 소년과 자꾸만 눈이 마주쳤다. 진평강에 열을 식히러 온 사람들 사이에서 한눈에 도담의 눈길을 끄는 소년이 있었다.
나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019-04-20,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788998441074.jpg,1,1,11,100,ON_SALE,9788998441074.0,영혼을 찍는 카메라가 있다면 짓눌리고 억압받는 정신을 촬영하고 인화할 수 있는 과학이 있다면 렌즈를 들이대고 분명히 찍어두어야 할 여성의 깊은 상흔은 일일이 셀 수 없을 만큼 많다.
작별하지 않는다,한강,문학동네,2021-09-09,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954682152.jpg,4,3,11,100,ON_SALE,9788954682152.0,생명이 얼마나 약한 것인지 그때 실감했다. 저 살과 장기와 뼈와 목숨 들이 얼마나 쉽게 부서지고 끊어져버릴 가능성을 품고 있는지. 단 한 번의 선택으로.
제16회 젊은작가상 수상작품집(2025),백온유 외,문학동네,2025-04-02,6930,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791141602024.jpg,1,1,11,100,ON_SALE,9791141602024.0,백온유의 「반의반의 반」은 인지능력 저하로 어려움을 겪고 있는 노인 ‘영실’이 오천만원을 잃어버린 것을 시작으로 영실 가족의 내면에 맺혀 있던 결핍을 하나씩 추적해나가는 이야기다.
"마침내, 안녕",유월,서사원,2025-05-26,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791168223981.jpg,2,3,11,100,ON_SALE,9791168223981.0,송은이가 발견하고 배우 최강희가 빠져버린 바로 그 작품! 컨텐츠랩 비보(vivo)가 선택한 첫 장편소설! 출간 즉시 드라마 제작 확정!
파과,구병모,위즈덤하우스,2018-04-16,14220,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791162203620.jpg,5,3,11,100,ON_SALE,9791162203620.0,베를린영화제 공식 초청 영화 〈파과〉 원작 소설! 전 세계 13개국 수출 뉴욕타임스 선정‘주목할 만한 책 100선’
홍학의 자리,정해연,엘릭시르,2021-07-26,12600,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954681155.jpg,0,0,11,100,ON_SALE,9788954681155.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
채식주의자,한강,창비,2022-03-28,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936434595.jpg,0,0,11,100,ON_SALE,9788936434595.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
소설 보다: 여름 2025,김지연 외,문학과지성사,2025-06-10,4950,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932044057.jpg,0,0,11,100,ON_SALE,9788932044057.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
여름을 한 입 베어 물었더니,이꽃님,문학동네,2023-08-18,11250,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954694575.jpg,4,2,11,100,ON_SALE,9788954694575.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
윤슬의 바다,백은별,바른북스,2025-05-31,13500,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791172634001.jpg,0,0,11,100,ON_SALE,9791172634001.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
관촌수필,이문구,문학과지성사,2018-09-03,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932034560.jpg,0,0,11,100,ON_SALE,9788932034560.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
칼의 노래,김훈,문학동네,2014-01-15,15300,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954623360.jpg,5,3,11,100,ON_SALE,9788954623360.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
구의 증명(리커버판),최진영,은행나무,2023-04-26,10800,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791167372864.jpg,5,2,11,100,ON_SALE,9791167372864.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
스토너,존 윌리엄스,알에이치코리아,2015-01-02,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788925554990.jpg,1,3,12,100,ON_SALE,9788925554990.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
작은 땅의 야수들(리커버 무선판),김주혜,다산책방,2023-06-19,16200,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791130642574.jpg,4,2,12,100,ON_SALE,9791130642574.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
내게 남은 스물다섯 번의 계절,슈테판 셰퍼,서삼독,2025-05-16,15120,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193904213.jpg,1,1,12,100,ON_SALE,9791193904213.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
앵무새 죽이기(리커버판),하퍼 리,열린책들,2015-06-30,14220,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932917207.jpg,0,0,12,100,ON_SALE,9788932917207.0,해당 서적은 현재 판매 중입니다. 많은 관심 부탁드립니다.
